Addams,Richard,,
Æthelflæd,ruler of the Mercians,,
Almond,James,,
Amcotes,Sir Thomas de,,
Anderson,William,,
Anne of Bohemia,queen of England,,
Anne of Denmark,queen of England,,
Archer,John,,
Ashford,Stephen,,
Ashford,William,,
Aspenall,Edward,,
Astle,Henry,,
Astley,William,,
Aston,Robert,esquire,
Aston,Thomas,,
Austen,John,,
Bacon,Sir Francis,,
Baddelie,Richard,,
Bagnall,John,,
Bagot,Sir Hervey,,
Bagot,Sir Lewis,,
Bagot,Walter,esquire,
Bamforde,James,,
Barbur,Master,,
Barrett,Edward,1st Baron Barrett of Newburgh,
Bassett,Mr,,
Bate,John,,
Beamont,John,esquire,
Beaumaner,Robert,,
Beaumanoir,Robert de,,
Beaumont,Sir Thomas,,
Beckett,John,,
Berkeley,Henry,7th Baron Berkeley,
Bissell,John,the younger,
Blaby,Robert,,
Blackburne,William,,
Blakewe,John,,
Blind Peter,,,
Blyth,Thomas,Junior,
Boleyn,George,,
Boo,Raffe,,
Booth,Richard,,
Boughey,George,,
Bourne,Elizabeth,,
Bourne,Margaret,,
Bourne,William,,
Bowman,Anne,,
Bowyer,John,,
Bradshawe,John,,
Bristoe,Edward,,
Brockearst,Erylyton,,
Bromley,Roger,,
Bromley,Thomas,,
Bromley,William,,
Bronsgrove,Hugh,,
Broughtonn,Richard,,
Browne,Henry,,
Browne,John,,
Browne,Margaret,,
Browne,Simon,,
Buckingham,John de,,
Budworth,Edward,,
Bughbrigg,Sir William de,,
Bulkley,Thomas,,
Burnell,John,,
Byddull,Simon,,
Byrd,William,,
Campion,Edmund,,
Challoner,William,,
Charles I,king of England (Charles Stuart),,
Charles II,king of England (Charles Stuart),,
Chattertonn,Master,,
Chesulden,Sir William,,
Chetwinde,Sir Walter (variant spelling Chetwynd),,
Chetwynd,Walter,,
Chrispe,Richard,,
Church,William,,
Chuseldon,Sir William de,,
Clarke,John,,
Clarke,Thomas,,
Cliff,John,,
Close,William,,
Cole,Richard,,
Collier,Robert,,
Colly,Elizabeth,,
Colly,Robert,,
Colman,William,,
Cook,Piers,,
Cooke,Thomas,,
Cossall,Richard,,
Cowell,Jacob,,
Craddock,Thomas,,
Cradeley,John,,
Cradock,Matthew,,
Cradock,Thomas,,
Creswall,Robert,,
Creswall,William,,
Crippell,Margaret,,
Crippell,William,,
Crispe,Frances,,
Crompton,Inet,,
Crompton,William,,
Crosby,William,,
Crychelowe,Thomas,,
Crychelowe,William,,
Crysterson,William,,
Dakyn,Edward,,
Dale,Robert,,
Dale,Thomas,,
Dampierre,Louis,II (Count of Flanders),
de Brompton,Margerie,,
de Brompton,William,,
Deane,John,,
Denton,James,dean of Lichfield Cathedral,
Dethike,Mr,,
Devereux,Frances,duchess of Somerset,
Devereux,Robert,19th earl of Essex,
Devereux,Robert,20th earl of Essex,
Devereux,Walter,2nd Viscount Hereford and 18th earl of Essex,
Diche,William,,
Digby,Mr,,
Dikes,Thomas,,
Dimmocke,Thomas,,
Doonton,Philip,,
Dorington,Francis,,
Dorington,Richard,,
Dorringtonn,John,,
Doson,Edward,,
Douglas,William,1st earl of Douglas,
Drakeford,Richard,,
Draycott,Mr,,
Dudley,Ambrose,21st earl of Warwick,
Dudley,Robert,14th earl of Leicester,
Dutton,Jane,,
Dutton,John,,
Dyckes,Thomas,,
Dyllorne,Richard,,
Dyngley,Roger,,
Dyott,Mrs,wife of Richard,
Dyott,Richard,,
Edmund of Langley,2nd earl of Cambridge,,
Edward II,king of England (Edward of Caernarfon),,
Edward III,king of England (Edward Plantagenet),,
Edward IV,king of England,,
Edward VI,king of England (Edward Tudor),,
Elizabeth I,queen of England (Elizabeth Tudor),,
Elizabeth of Lancaster,,,
Elizabeth Stuart,daughter of James I,wife of Frederick V,queen of Bohemia
Evans,John,,
Everett,John,,
Faldo,Robert,,
Ferrers,Sir Humphrey,,
FitzAlan,Joan,countess of Hereford and Essex,
Fletcher,John,,
Foljambe,Mrs,,
Foljaumbe,Sir Godfrey,,
Fowke,Edward,,
Foxe,Richard,,
Freville,Baldwin,,
Fryssh,Hankyn,,
Fulnetby,John,archdeacon,
Gerard,Sir Gilbert,,
Gerard,Thomas,1st Baron Gerard,
Gillam,Alice,,
Gillam,William,,
Gosnell,Mr,,
Gost,Elizabeth,,
Gost,Richard,,
Gough,Hans,,
Greene,Godfrey,,
Greene,Thomas,,
Gryme,Thomas,,
Gybeson,John,,
Hales,Peter,,
Hanson,Nicholas,,
Harden,John,,
Harden,William,,
Harper,William,,
Harris,Richard,,
Harrison,John,,
Harrison,John,,
Harrison,Thomas,,
Harrison,William,,
Harvye,Thomas,,
Hastings,Sir George,25th earl of Huntingdon,
Hawkes,Edward,,
Hawkes,George,,
Hawkes,Kyllam,,
Hawkes,Robert,,
Henry,14th earl of Richmond,,
Henry II,king of England,,
Henry III,king of England,,
Henry IV,king of England (Henry Bolingbroke),,
Henry VI,king of England,,
Henry VII,king of England (Henry Tudor),,
Henry VIII,king of England (Henry Tudor),,
Herbert,Philip,1st earl of Montgomery,
Herbert,Philip,23rd earl of Pembroke,
Herbert,William,22nd earl of Pembroke,
Hill,Arthur,,
Hill,John,,
Hill,Widow,,
Hinckes,Robert,,
Hodgeson,John,,
Hodgettes,Richard,the younger,
Hodgskinson,John,,
Hogekynson,Thomas,,
Hogg,Richard,,
Hollcroft,William,,
Homersley,Richard,,
Horne,William,,
Hosyar,John,,
Howard,Charles,2nd Baron Howard of Effingham,
Howard,Thomas,26th earl of Arundel,
Howlat,John,,
Hultescrane,Henry,,
Hurbutt,Richard,,
Hurdman,John,,
Hutt,Henry,,
Hyde,Samson,,
Ingstonor,Thomas,,
Iremonger,William,,
Isabella of Castile,,,
Jacson,Thomas,,
James I,king of England (James Stuart,James VI,king of Scotland)
John,king of England,,
John of Gaunt,2nd duke of Lancaster,,
John of Gaunt of Tutbury,,,
